OA,geography_code
N20000320,N21000073
N20000321,N21000073
N20000322,N21000071
N20000323,N21000073
N20000324,N21000070
N20000325,N21000074
N20000326,N21000070
N20000327,N21000073
N20000328,N21000074
N20000329,N21000074
N20000330,N21000074
N20000331,N21000074
N20000332,N21000075
N20000333,N21000075
N20000334,N21000075
N20000335,N21000074
N20000336,N21000075
N20000337,N21000075
N20000338,N21000076
N20000339,N21000076
N20000340,N21000072
N20000341,N21000076
N20000342,N21000072
N20000343,N21000076
N20000344,N21000077
N20000345,N21000076
N20000346,N21000077
N20000347,N21000077
N20000348,N21000078
N20000349,N21000078
N20000350,N21000078
N20000351,N21000078
N20000352,N21000078
N20000353,N21000077
N20000354,N21000077
N20000355,N21000077
N20000356,N21000079
N20000357,N21000079
N20000358,N21000080
N20000359,N21000079
N20000360,N21000080
N20000361,N21000079
N20000362,N21000079
N20000363,N21000080
N20000364,N21000080
N20000365,N21000080
N20000366,N21000080
N20000367,N21000087
N20000368,N21000093
N20000369,N21000087
N20000370,N21000081
N20000371,N21000082
N20000372,N21000081
N20000373,N21000082
N20000374,N21000081
N20000375,N21000082
N20000376,N21000082
N20000377,N21000084
N20000378,N21000083
N20000379,N21000082
N20000380,N21000081
N20000381,N21000083
N20000382,N21000083
N20000383,N21000093
N20000384,N21000086
N20000385,N21000085
N20000386,N21000083
N20000387,N21000085
N20000388,N21000085
N20000389,N21000088
N20000390,N21000085
N20000391,N21000085
N20000392,N21000086
N20000393,N21000084
N20000394,N21000085
N20000395,N21000084
N20000396,N21000088
N20000397,N21000086
N20000398,N21000089
N20000399,N21000088
N20000400,N21000089
N20000401,N21000087
N20000402,N21000088
N20000403,N21000089
N20000404,N21000090
N20000405,N21000090
N20000406,N21000091
N20000407,N21000090
N20000408,N21000087
N20000409,N21000091
N20000410,N21000091
N20000411,N21000089
N20000412,N21000091
N20000413,N21000092
N20000414,N21000092
N20000415,N21000092
N20000416,N21000093
N20000417,N21000092
N20000418,N21000087
N20000419,N21000093
N20000420,N21000093
N20000421,N21000094
N20000422,N21000094
N20000423,N21000094
N20000424,N21000094
N20000425,N21000095
N20000426,N21000095
N20000427,N21000095
N20000428,N21000095
N20000429,N21000095
N20000430,N21000096
N20000431,N21000098
N20000432,N21000098
N20000433,N21000096
N20000434,N21000097
N20000435,N21000097
N20000436,N21000099
N20000437,N21000097
N20000438,N21000099
N20000439,N21000098
N20000440,N21000096
N20000441,N21000096
N20000442,N21000098
N20000443,N21000099
N20000444,N21000099
N20000445,N21000098
N20000446,N21000102
N20000447,N21000099
N20000448,N21000100
N20000449,N21000100
N20000450,N21000101
N20000451,N21000102
N20000452,N21000100
N20000453,N21000100
N20000454,N21000100
N20000455,N21000099
N20000456,N21000101
N20000457,N21000102
N20000458,N21000104
N20000459,N21000101
N20000460,N21000101
N20000461,N21000102
N20000462,N21000105
N20000463,N21000103
N20000464,N21000105
N20000465,N21000104
N20000466,N21000103
N20000467,N21000104
N20000468,N21000103
N20000469,N21000106
N20000470,N21000105
N20000471,N21000105
N20000472,N21000105
N20000473,N21000104
N20000474,N21000106
N20000475,N21000106
N20000476,N21000107
N20000477,N21000108
N20000478,N21000107
N20000479,N21000107
N20000480,N21000107
N20000481,N21000108
N20000482,N21000107
N20000483,N21000109
N20000484,N21000109
N20000485,N21000110
N20000486,N21000110
N20000487,N21000109
N20000488,N21000108
N20000489,N21000110
N20000490,N21000111
N20000491,N21000111
N20000492,N21000111
N20000493,N21000109
N20000494,N21000111
N20000495,N21000110
N20000496,N21000112
N20000497,N21000112
N20000498,N21000111
N20000499,N21000110
N20000500,N21000112
N20000501,N21000114
N20000502,N21000114
N20000503,N21000113
N20000504,N21000112
N20000505,N21000113
N20000506,N21000113
N20000507,N21000114
N20000508,N21000112
N20000509,N21000113
N20000510,N21000115
N20000511,N21000112
N20000512,N21000116
N20000513,N21000114
N20000514,N21000119
N20000515,N21000116
N20000516,N21000117
N20000517,N21000115
N20000518,N21000115
N20000519,N21000116
N20000520,N21000115
N20000521,N21000108
N20000522,N21000118
N20000523,N21000119
N20000524,N21000117
N20000525,N21000117
N20000526,N21000116
N20000527,N21000120
N20000528,N21000121
N20000529,N21000119
N20000530,N21000118
N20000531,N21000119
N20000532,N21000121
N20000533,N21000119
N20000534,N21000120
N20000535,N21000118
N20000536,N21000121
N20000537,N21000122
N20000538,N21000118
N20000539,N21000120
N20000540,N21000120
N20000541,N21000121
N20000542,N21000122
N20000543,N21000121
N20000544,N21000123
N20000545,N21000122
N20000546,N21000123
N20000547,N21000122
N20000548,N21000123
N20000549,N21000122
N20000550,N21000123
N20000551,N21000126
N20000552,N21000124
N20000553,N21000130
N20000554,N21000124
N20000555,N21000124
N20000556,N21000124
N20000557,N21000125
N20000558,N21000125
N20000559,N21000126
N20000560,N21000132
N20000561,N21000125
N20000562,N21000126
N20000563,N21000133
N20000564,N21000128
N20000565,N21000127
N20000566,N21000129
N20000567,N21000128
N20000568,N21000127
N20000569,N21000130
N20000570,N21000129
N20000571,N21000127
N20000572,N21000128
N20000573,N21000129
N20000574,N21000129
N20000575,N21000129
N20000576,N21000131
N20000577,N21000131
N20000578,N21000131
